Name,EDI,UNECE Code,ICEGATE EmailAddress
ACC KANNUR,INCNN,INCNN4,INCNN4@icegate.gov.in
ACC MOPA,INGOX4,INGOX4,INGOX4@icegate.gov.in
Achra,ACH,INACH1,inach1@icegate.gov.in
AEQUS SEZ,BGQ,INBGQ6,INBGQ6@icegate.gov.in
Agra ICD,BLJ,INBLJ6,inblj6@icegate.gov.in
Ahmedabad Air Cargo,AMD,INAMD4,inamd4@icegate.gov.in
Alang,ALA,INALA1,INALA1@icegate.gov.in
Albratos CFS Pvt. Ltd.,APL,INAPL6,inapl6@icegate.gov.in
Amritsar ACC,ATQ,INATQ4,inatq4@icegate.gov.in
Amritsar Rail Cargo,ASR,INASR2,inasr2@icegate.gov.in
Ankaleshwar ICD,AKV,INAKV6,inakv6@icegate.gov.in
APIIC Limited(Naidupeta),INNYP6,INNYP6,INNYP6@icegate.gov.in
APIIC Pharma SEZ,GLY,INGLY6,INGLY6@icegate.gov.in
APIIC SEZ for Aerospace and Pr,INFMA6,INFMA6,INFMA6@icegate.gov.in
APM ICD BHAMBOLI KHED,GRW,INGRW6,ingrw6@icegate.gov.in
Arakkanom (ICD),AJJ,INAJJ6,inajj6@icegate.gov.in
Arshiya International Ltd(SEZ),PNV,INPNV6,inpnv6@icegate.gov.in
Aspen Park Infra Coimbatore Pv,INCBS6,INCBS6,INCBS6@icegate.gov.in
Attari Road,ATR,INATRB,INATRB@icegate.gov.in
AZHIKKAL PORT	,AZK,INAZK1,INAZK1@icegate.gov.in
Ballabgarh ICD,FBD,INFBD6,infbd6@icegate.gov.in
BAWAL (ICD),BAW,INBAW6,INBAW6@icegate.gov.in
Bedi Port,INBED1,INBED1,INBED1@icegate.gov.in
Bengaluru Air Cargo,BLR,INBLR4,inblr4@icegate.gov.in
Bengaluru ICD,WFD,INWFD6,inwfd6@icegate.gov.in
Bhavnagar Port,INBHU,INBHU1,inbhu1@icegate.gov.in
Bhilwara ICD,BHL,INBHL6,inbhl6@icegate.gov.in
Bhiwadi ICD,BWD,INBWD6,inbwd6@icegate.gov.in
BHUBANESWAR AIR CARGO,INBBI4,INBBI4,INBBI4@icegate.gov.in
Bhusswal ICD,BSL,INBSL6,inbsl6@icegate.gov.in
Birpara,LOB,INDLOB,indlob@icegate.gov.in
